frame,condition,region,pixel_frac,mean_w,min_w,frac_w_lt_0p99,frac_w_lt_0p95,frac_w_lt_0p90,mean_abs_st_minus_mono
0038:0096,snow,textured,0.9960228587962963,0.9989827275276184,0.9963233470916748,0.0,0.0,0.0,4.413812160491943
0038:0120,clean,all,1.0,0.9994274377822876,0.9956337809562683,0.0,0.0,0.0,6.439414024353027
0038:0120,clean,valid,1.0,0.9994274377822876,0.9956337809562683,0.0,0.0,0.0,6.439414024353027
0038:0120,clean,sky,0.716412037037037,0.9992550611495972,0.9956337809562683,0.0,0.0,0.0,1.1346172094345093
0038:0120,clean,nonsky,0.28358796296296296,0.999862790107727,0.9957557916641235,0.0,0.0,0.0,19.84061622619629
0038:0120,clean,textureless,0.42702739197530865,0.9989491701126099,0.9957701563835144,0.0,0.0,0.0,0.21893499791622162
0038:0120,clean,textured,0.5729726080246914,0.9997836947441101,0.9956337809562683,0.0,0.0,0.0,11.075439453125
0038:0120,fog,all,1.0,0.9992031455039978,0.995465874671936,0.0,0.0,0.0,16.709924697875977
0038:0120,fog,valid,1.0,0.9992031455039978,0.995465874671936,0.0,0.0,0.0,16.709924697875977
0038:0120,fog,sky,0.716412037037037,0.9990067481994629,0.995465874671936,0.0,0.0,0.0,19.703031539916992
0038:0120,fog,nonsky,0.28358796296296296,0.9996992945671082,0.9956138730049133,0.0,0.0,0.0,9.148615837097168
0038:0120,fog,textureless,0.6251032021604939,0.9990523457527161,0.9957965016365051,0.0,0.0,0.0,22.73145294189453
0038:0120,fog,textured,0.3748967978395062,0.9994547963142395,0.995465874671936,0.0,0.0,0.0,6.669612884521484
0038:0120,frost,all,1.0,0.9994903802871704,0.9960960745811462,0.0,0.0,0.0,12.711048126220703
0038:0120,frost,valid,1.0,0.9994903802871704,0.9960960745811462,0.0,0.0,0.0,12.711048126220703
0038:0120,frost,sky,0.716412037037037,0.9993574023246765,0.9960960745811462,0.0,0.0,0.0,9.6542387008667
0038:0120,frost,nonsky,0.28358796296296296,0.9998257756233215,0.997454047203064,0.0,0.0,0.0,20.433307647705078
0038:0120,frost,textureless,0.19061583719135802,0.9992576837539673,0.9961340427398682,0.0,0.0,0.0,9.5828275680542
0038:0120,frost,textured,0.809384162808642,0.9995448589324951,0.9960960745811462,0.0,0.0,0.0,13.447772026062012
0038:0120,snow,all,1.0,0.9990479946136475,0.996197521686554,0.0,0.0,0.0,6.719433784484863
0038:0120,snow,valid,1.0,0.9990479946136475,0.996197521686554,0.0,0.0,0.0,6.719433784484863
0038:0120,snow,sky,0.716412037037037,0.9988519549369812,0.996197521686554,0.0,0.0,0.0,5.268062591552734
0038:0120,snow,nonsky,0.28358796296296296,0.999542772769928,0.9971129894256592,0.0,0.0,0.0,10.385948181152344
0038:0120,snow,textureless,0.0050419560185185185,0.9987689256668091,0.996232271194458,0.0,0.0,0.0,3.6186060905456543
0038:0120,snow,textured,0.9949580439814815,0.999049186706543,0.996197521686554,0.0,0.0,0.0,6.735146522521973
0038:0144,clean,all,1.0,0.9993371367454529,0.9960216283798218,0.0,0.0,0.0,5.43630313873291
0038:0144,clean,valid,1.0,0.9993371367454529,0.9960216283798218,0.0,0.0,0.0,5.43630313873291
0038:0144,clean,sky,0.7596527777777777,0.999172568321228,0.9960686564445496,0.0,0.0,0.0,0.8931638598442078
0038:0144,clean,nonsky,0.2403472222222222,0.9998559355735779,0.9960216283798218,0.0,0.0,0.0,19.795562744140625
0038:0144,clean,textureless,0.4870934606481481,0.9988473057746887,0.9960216283798218,0.0,0.0,0.0,0.1762319654226303
0038:0144,clean,textured,0.5129065393518518,0.9998021721839905,0.9962530732154846,0.0,0.0,0.0,10.43165111541748
0038:0144,fog,all,1.0,0.9987494349479675,0.9946112632751465,0.0,0.0,0.0,10.77254867553711
0038:0144,fog,valid,1.0,0.9987494349479675,0.9946112632751465,0.0,0.0,0.0,10.77254867553711
0038:0144,fog,sky,0.7596527777777777,0.9984443187713623,0.9946112632751465,0.0,0.0,0.0,11.507843017578125
0038:0144,fog,nonsky,0.2403472222222222,0.9997128844261169,0.9958657622337341,0.0,0.0,0.0,8.448527336120605
0038:0144,fog,textureless,0.6746339699074074,0.9984514713287354,0.9946112632751465,0.0,0.0,0.0,13.067389488220215
0038:0144,fog,textured,0.3253660300925926,0.9993671178817749,0.9948532581329346,0.0,0.0,0.0,6.014280319213867
0038:0144,frost,all,1.0,0.9995371103286743,0.9960282444953918,0.0,0.0,0.0,15.592533111572266
0038:0144,frost,valid,1.0,0.9995371103286743,0.9960282444953918,0.0,0.0,0.0,15.592533111572266
0038:0144,frost,sky,0.7596527777777777,0.9994511008262634,0.9960282444953918,0.0,0.0,0.0,14.619513511657715
0038:0144,frost,nonsky,0.2403472222222222,0.9998089075088501,0.996427595615387,0.0,0.0,0.0,18.667888641357422
0038:0144,frost,textureless,0.0011921296296296296,0.9986588358879089,0.9963427782058716,0.0,0.0,0.0,6.838774681091309
0038:0144,frost,textured,0.9988078703703703,0.9995386004447937,0.9960282444953918,0.0,0.0,0.0,15.60297679901123
0038:0144,snow,all,1.0,0.9986899495124817,0.9956507086753845,0.0,0.0,0.0,5.227867603302002
0038:0144,snow,valid,1.0,0.9986899495124817,0.9956507086753845,0.0,0.0,0.0,5.227867603302002
0038:0144,snow,sky,0.7596527777777777,0.9984431266784668,0.9956507086753845,0.0,0.0,0.0,4.090631484985352
0038:0144,snow,nonsky,0.2403472222222222,0.9994711875915527,0.9964925646781921,0.0,0.0,0.0,8.82226276397705
0038:0144,snow,textureless,0.004947434413580247,0.9985459446907043,0.9963244199752808,0.0,0.0,0.0,4.86531925201416
0038:0144,snow,textured,0.9950525655864197,0.9986905455589294,0.9956507086753845,0.0,0.0,0.0,5.229669570922852
0039:0001,clean,all,1.0,0.9998990297317505,0.9980058073997498,0.0,0.0,0.0,6.547486305236816
0039:0001,clean,valid,1.0,0.9998990297317505,0.9980058073997498,0.0,0.0,0.0,6.547486305236816
0039:0001,clean,nonsky,1.0,0.9998990297317505,0.9980058073997498,0.0,0.0,0.0,6.547486305236816
0039:0001,clean,textureless,0.004077449845679012,0.999989926815033,0.9995344281196594,0.0,0.0,0.0,13.215452194213867
0039:0001,clean,textured,0.995922550154321,0.9998982548713684,0.9980058073997498,0.0,0.0,0.0,6.520186901092529
0039:0001,fog,all,1.0,0.9998534917831421,0.9981423616409302,0.0,0.0,0.0,3.697457790374756
0039:0001,fog,valid,1.0,0.9998534917831421,0.9981423616409302,0.0,0.0,0.0,3.697457790374756
0039:0001,fog,nonsky,1.0,0.9998534917831421,0.9981423616409302,0.0,0.0,0.0,3.697457790374756
0039:0001,fog,textureless,0.18878327546296297,0.9999129772186279,0.9982060194015503,0.0,0.0,0.0,4.834473609924316
0039:0001,fog,textured,0.8112167245370371,0.9998395442962646,0.9981423616409302,0.0,0.0,0.0,3.432854652404785
0039:0001,frost,all,1.0,0.9998116493225098,0.9980661869049072,0.0,0.0,0.0,19.75410270690918
0039:0001,frost,valid,1.0,0.9998116493225098,0.9980661869049072,0.0,0.0,0.0,19.75410270690918
0039:0001,frost,nonsky,1.0,0.9998116493225098,0.9980661869049072,0.0,0.0,0.0,19.75410270690918
0039:0001,frost,textureless,0.010132619598765432,0.9996541738510132,0.9985169768333435,0.0,0.0,0.0,12.990457534790039
0039:0001,frost,textured,0.9898673804012346,0.9998127818107605,0.9980661869049072,0.0,0.0,0.0,19.823348999023438
0039:0001,snow,all,1.0,0.9994950294494629,0.9976553916931152,0.0,0.0,0.0,9.94184398651123
0039:0001,snow,valid,1.0,0.9994950294494629,0.9976553916931152,0.0,0.0,0.0,9.94184398651123
0039:0001,snow,nonsky,1.0,0.9994950294494629,0.9976553916931152,0.0,0.0,0.0,9.94184398651123
0039:0001,snow,textureless,6.26929012345679e-06,0.999232292175293,0.9992184042930603,0.0,0.0,0.0,1.2965744733810425
0039:0001,snow,textured,0.9999937307098765,0.9994949102401733,0.9976553916931152,0.0,0.0,0.0,9.94189453125
0039:0013,clean,all,1.0,0.9998962879180908,0.9978660345077515,0.0,0.0,0.0,6.593227863311768
0039:0013,clean,valid,1.0,0.9998962879180908,0.9978660345077515,0.0,0.0,0.0,6.593227863311768
0039:0013,clean,nonsky,1.0,0.9998962879180908,0.9978660345077515,0.0,0.0,0.0,6.593227863311768
0039:0013,clean,textureless,0.004143036265432099,0.9999895691871643,0.9995301961898804,0.0,0.0,0.0,17.48514175415039
