model,frame,condition,prediction,region,abs_err_vs_gt,n
Full,0038:0024,snow,fused,textureless,0.5284151434898376,5699
Full,0038:0024,snow,fused,textured,0.6636171340942383,2067901
Full,0038:0024,snow,stereo_only,valid,0.6625794768333435,2073600
Full,0038:0024,snow,stereo_only,sky,0.8365518450737,1016468
Full,0038:0024,snow,stereo_only,nonsky,0.495298832654953,1057132
Full,0038:0024,snow,stereo_only,textureless,0.5278190970420837,5699
Full,0038:0024,snow,stereo_only,textured,0.662950873374939,2067901
Full,0038:0024,snow,mono_only,valid,7.276072978973389,2073600
Full,0038:0024,snow,mono_only,sky,4.556421279907227,1016468
Full,0038:0024,snow,mono_only,nonsky,9.891112327575684,1057132
Full,0038:0024,snow,mono_only,textureless,3.7639195919036865,5699
Full,0038:0024,snow,mono_only,textured,7.2857561111450195,2067901
E0,0038:0048,clean,fused,valid,0.5389920473098755,2073600
E0,0038:0048,clean,fused,sky,0.7850669026374817,975822
E0,0038:0048,clean,fused,nonsky,0.32025405764579773,1097778
E0,0038:0048,clean,fused,textureless,0.5226688981056213,345038
E0,0038:0048,clean,fused,textured,0.5422497391700745,1728562
Full,0038:0048,clean,fused,valid,0.5379800200462341,2073600
Full,0038:0048,clean,fused,sky,0.7762385010719299,975822
Full,0038:0048,clean,fused,nonsky,0.32619088888168335,1097778
Full,0038:0048,clean,fused,textureless,0.513952374458313,345038
Full,0038:0048,clean,fused,textured,0.5427764654159546,1728562
Full,0038:0048,clean,stereo_only,valid,0.5379756689071655,2073600
Full,0038:0048,clean,stereo_only,sky,0.776178777217865,975822
Full,0038:0048,clean,stereo_only,nonsky,0.3262351155281067,1097778
Full,0038:0048,clean,stereo_only,textureless,0.513990044593811,345038
Full,0038:0048,clean,stereo_only,textured,0.5427629947662354,1728562
Full,0038:0048,clean,mono_only,valid,10.053864479064941,2073600
Full,0038:0048,clean,mono_only,sky,5.243366718292236,975822
Full,0038:0048,clean,mono_only,nonsky,14.329947471618652,1097778
Full,0038:0048,clean,mono_only,textureless,6.749153137207031,345038
Full,0038:0048,clean,mono_only,textured,10.713515281677246,1728562
E0,0038:0048,fog,fused,valid,43.28225326538086,2073600
E0,0038:0048,fog,fused,sky,91.27767181396484,975822
E0,0038:0048,fog,fused,nonsky,0.6188004016876221,1097778
E0,0038:0048,fog,fused,textureless,67.31707000732422,1327502
E0,0038:0048,fog,fused,textured,0.5181196331977844,746098
Full,0038:0048,fog,fused,valid,13.701386451721191,2073600
Full,0038:0048,fog,fused,sky,28.483713150024414,975822
Full,0038:0048,fog,fused,nonsky,0.561249315738678,1097778
Full,0038:0048,fog,fused,textureless,21.111438751220703,1327502
Full,0038:0048,fog,fused,textured,0.5169631838798523,746098
Full,0038:0048,fog,stereo_only,valid,13.701169967651367,2073600
Full,0038:0048,fog,stereo_only,sky,28.48321533203125,975822
Full,0038:0048,fog,stereo_only,nonsky,0.5613293647766113,1097778
Full,0038:0048,fog,stereo_only,textureless,21.111032485961914,1327502
Full,0038:0048,fog,stereo_only,textured,0.5171093940734863,746098
Full,0038:0048,fog,mono_only,valid,8.715559959411621,2073600
Full,0038:0048,fog,mono_only,sky,9.325439453125,975822
Full,0038:0048,fog,mono_only,nonsky,8.17342758178711,1097778
Full,0038:0048,fog,mono_only,textureless,8.23975944519043,1327502
Full,0038:0048,fog,mono_only,textured,9.562125205993652,746098
E0,0038:0048,frost,fused,valid,0.7016640305519104,2073600
E0,0038:0048,frost,fused,sky,1.0213608741760254,975822
E0,0038:0048,frost,fused,nonsky,0.41748344898223877,1097778
E0,0038:0048,frost,fused,textureless,0.3087084889411926,157885
E0,0038:0048,frost,fused,textured,0.7340497970581055,1915715
Full,0038:0048,frost,fused,valid,0.5847954750061035,2073600
Full,0038:0048,frost,fused,sky,0.7568904161453247,975822
Full,0038:0048,frost,fused,nonsky,0.4318186342716217,1097778
Full,0038:0048,frost,fused,textureless,0.16899091005325317,157885
Full,0038:0048,frost,fused,textured,0.6190639734268188,1915715
Full,0038:0048,frost,stereo_only,valid,0.5842238068580627,2073600
Full,0038:0048,frost,stereo_only,sky,0.7555790543556213,975822
Full,0038:0048,frost,stereo_only,nonsky,0.43190476298332214,1097778
